Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
J3,,CON20_2X10_US_FCI,S9197-ND,TOP,-270,-2002.76,449.213
U1,STM32F401RE,SQFP64-10X10,497-STM32F401RET7-ND,TOP,0,-1098.43,492.126
U3,MIC29150-3.3WU,DPAK,BD433M5FP2-CZE2DKR-ND,TOP,0,-452.756,821.482
C6,30pF,CAPC1005X56,1276-1272-6-ND,TOP,-180,-665.354,748.031
R9,110,RESC1608X50A,RMCF0603FT110RDKR-ND,TOP,-90,-374.016,488.189
C3,4.7uF,CAPC1005X56,1276-1481-6-ND,TOP,-90,-822.835,677.165
D4,110,RESC1608X50A,846-1157-6-ND,TOP,-90,-228.346,720.472
R2,562,RESC1608X50A,311-562HRDKR-ND,TOP,-90,-1318.9,976.378
R3,1.1k,RESC1608X50A,541-5222-6-ND,TOP,-180,-1346.46,874.016
R4,562,RESC1608X50A,311-562HRDKR-ND,TOP,-90,-1507.87,940.945
R5,1.1k,RESC1608X50A,541-5222-6-ND,TOP,-180,-1547.24,842.52
R6,110,RESC1608X50A,RMCF0603FT110RDKR-ND,TOP,-270,-433.071,346.457
R7,110,RESC1608X50A,RMCF0603FT110RDKR-ND,TOP,-270,-498,23.622
R8,110,RESC1608X50A,RMCF0603FT110RDKR-ND,TOP,-270,-489,192.913
D1,110,RESC1608X50A,846-1157-6-ND,TOP,0,-251.969,326.772
D2,110,RESC1608X50A,846-1157-6-ND,TOP,0,-290.787,-4.87402
D3,110,RESC1608X50A,846-1157-6-ND,TOP,0,-290.496,161.417
U2,ABM316000MHZB4YT,XTAL_ABM316000MHZB4YT,535-9103-6-ND,TOP,-90,-1507.87,503.937
U4,314375650,SW_314375650,450-1757-6-ND,TOP,-90,-1816.93,-403.543
C1,30pF,CAPC1005X56,1276-1272-6-ND,TOP,-270,-1606.3,602.362
C2,30pF,CAPC1005X56,1276-1272-6-ND,TOP,-270,-1622.05,444.882
R1,10k,RESC1608X50A,CR0603-FX-1002ELFDKR-ND,TOP,-180,-1578.74,720.472
C4,0.1uF,CAPC1005X56,1276-6720-6-ND,TOP,-270,-2114.17,-291.339
C5,2.2uF,CAPC1005X56,399-C0402C229C5GACTUDKR-ND,TOP,-270,-602.362,362.205
J4,,LORA 3,2553-2042-1X10G00SA-ND,TOP,0,-1107.93,-227.303
J1,26630201RP2,CON2_1X2_HDR_2663,2663S-02-ND,TOP,0,-1995.63,1303
J5,68712-013LF,CON16_2X8_US_FCI,S9196-ND,TOP,0,-1264.96,1250.79
J2,25630601RP2,CON6_1X6_U_2563,2563S-06-ND,TOP,-270,-263.78,-271.654
C8,4.7uF,CAPC1005X56,1276-1481-6-ND,TOP,0,-964.567,196.85
C9,4.7uF,CAPC1005X56,1276-1481-6-ND,TOP,0,-1196.85,165.354
C7,4.7uF,CAPC1005X56,1276-1481-6-ND,TOP,-270,-1346.46,716.535
D5,1N4747A,SOD-323,DDZ20BSF-7DIDKR-ND,TOP,0,-1132.86,1047.24
R10,10k,RESC1608X50A,Digikey 311-360JTR-ND,TOP,0,-1137.8,940.945
U6,STS121RA04,TE_STS121RA04,2266-STS121RA04-ND,TOP,0,-397.638,1401.57
